iter	Logloss
204	0.3964389891
205	0.395935569
206	0.3955356757
207	0.3954659135
208	0.3951613714
209	0.3950334195
210	0.3947189833
211	0.3943878565
212	0.3940682795
213	0.3936045942
214	0.3931708828
215	0.3926301232
216	0.3922973774
217	0.3918937696
218	0.3915481353
219	0.3915009907
220	0.3913013599
221	0.3909860791
222	0.3909396844
223	0.3904407736
224	0.3904077426
225	0.3900199742
226	0.3894693149
227	0.3890937344
228	0.388655063
229	0.3884439184
230	0.3879711242
231	0.387721539
232	0.3875771959
233	0.3873790451
234	0.3871745354
235	0.3869667749
236	0.3868487192
237	0.3866723337
238	0.3864570559
239	0.3862048816
240	0.385874405
241	0.3855734262
242	0.3852593314
243	0.3849000152
244	0.3847159462
245	0.3843652279
246	0.3838139145
247	0.3834527463
248	0.3833706547
249	0.3830894072
250	0.3829082644
251	0.3826845669
252	0.3824693512
253	0.3821613508
254	0.3817107908
255	0.3815932729
256	0.3815235338
257	0.3809565052
258	0.380655966
259	0.3803741388
260	0.3798822686
261	0.3796819017
262	0.3793393799
263	0.3790245184
264	0.3789504932
265	0.3788058973
266	0.3787900544
267	0.3786184072
268	0.3784470484
269	0.3782166374
270	0.3780961628
271	0.377949097
272	0.3777785209
273	0.3775971313
274	0.3771976921
275	0.3770592455
276	0.3766827335
277	0.3762777401
278	0.3759010471
279	0.3756854105
280	0.3752608041
281	0.3750085214
282	0.3748855833
283	0.3748753087
284	0.374777911
285	0.3745443831
286	0.3743254405
287	0.3741579263
288	0.3740078001
289	0.3735050004
290	0.373340159
291	0.3731929613
292	0.3727950412
293	0.3727918998
294	0.3725548885
295	0.3723903406
296	0.372115533
297	0.3720829763
298	0.37196618
299	0.3718648332
300	0.3712414625
301	0.3711307336
302	0.3707985348
303	0.3706398977
304	0.3704411953
305	0.3703097655
306	0.3698326354
307	0.3696565022
308	0.3696553991
309	0.3695495123
310	0.3694902087
311	0.3692987704
312	0.3691186876
313	0.3690395003
314	0.3689552126
315	0.3685991046
316	0.3684889217
317	0.3681157291
318	0.3680649151
319	0.368000774
320	0.3676455861
321	0.3674762612
322	0.3672104361
323	0.3671924247
324	0.3670001493
325	0.3668332967
326	0.3666984488
327	0.366572821
328	0.3660436599
329	0.3660265193
330	0.3658231831
331	0.3654326881
332	0.3651922609
333	0.3651860839
334	0.3648294002
335	0.3646221009
336	0.3645303781
337	0.3643502362
338	0.3642854494
339	0.3641803122
340	0.3641252065
341	0.3637835921
342	0.3637586302
343	0.363650873
344	0.3635843452
345	0.3634701059
346	0.3633154453
347	0.3628217266
348	0.3627472997
349	0.3625088128
350	0.3623360105
351	0.3623304205
352	0.362197198
353	0.3620416533
354	0.3617379233
355	0.361609334
356	0.3614659578
357	0.3612730605
358	0.3610697567
359	0.3606774963
360	0.360582703
361	0.3605694967
362	0.3604034983
363	0.3601758994
364	0.3601537224
365	0.3601266282
366	0.3598159799
367	0.3597084111
368	0.3594947136
369	0.3594936131
370	0.3592538337
371	0.3590921112
372	0.3589310303
373	0.3589114303
374	0.3585944781
375	0.358552082
376	0.3584222782
377	0.3582220639
378	0.3578656487
379	0.3578312266
380	0.3578302603
381	0.3576905853
382	0.3576877809
383	0.3574585859
384	0.3572116907
385	0.3570648105
386	0.3568172542
387	0.3565985634
388	0.3565472748
389	0.3561631706
390	0.3560476612
391	0.3557652991
392	0.3556341994
393	0.3556152978
394	0.3555553625
395	0.3553698781
396	0.3552351757
397	0.3549901854
398	0.3549492545
399	0.3548192138
400	0.3545289246
401	0.3543820698
402	0.3542203082
403	0.354213879
404	0.3542037215
405	0.3541797907
406	0.3540604126
407	0.3539489483
408	0.3537405885
409	0.3536288026
410	0.353353995
411	0.3531873866
412	0.3530517192
413	0.3529322411
414	0.3526045535
415	0.3524432343
416	0.3523830544
417	0.3522966566
418	0.3521997927
419	0.352017027
420	0.3519865479
421	0.3518591681
422	0.3517015916
423	0.3516743479
424	0.3516425824
425	0.3514723128
426	0.3512891451
427	0.3512064516
428	0.3509718722
429	0.3506781029
430	0.3505128161
431	0.3505022573
432	0.3503914227
433	0.3501746873
434	0.3497737649
435	0.3496577089
436	0.3494404115
437	0.3493130005
438	0.3489245285
439	0.3489238247
440	0.3487473321
441	0.3486257061
442	0.3483185171
443	0.348173995
444	0.3480328169
445	0.3478174195
446	0.3473203711
447	0.3472644358
448	0.3471107997
449	0.3470599397
450	0.3468733313
451	0.3468548578
452	0.3467265745
453	0.3466609065
454	0.3466510573
455	0.3465310947
456	0.3465112436
457	0.3463423547
458	0.3463085057
459	0.3461977464
460	0.3461751375
461	0.3461328535
462	0.3461328529
463	0.3460552059
464	0.34598391
465	0.3458562142
466	0.3455407222
467	0.3453271272
468	0.345287977
469	0.3451976619
470	0.3451915375
471	0.3451151831
472	0.3449582684
473	0.3448880075
474	0.34476246
475	0.3443975698
476	0.3441967804
477	0.3440169281
478	0.3438511594
479	0.3436614396
480	0.3435751896
481	0.3433978937
482	0.3432875618
483	0.3431983596
484	0.3431603974
485	0.3429889661
486	0.3428799802
487	0.3428107276
488	0.3428018606
489	0.3427871235
490	0.3427143817
491	0.3426144772
492	0.3424533299
493	0.3421013789
494	0.3420795727
495	0.3420521364
496	0.3419139099
497	0.3418407069
498	0.3416797911
499	0.3416797909
500	0.3416042115
501	0.3414724744
502	0.3413321471
503	0.3412295523
504	0.3411299671
505	0.3410248707
506	0.3409324039
507	0.3407694524
508	0.3407272702
509	0.3406805159
510	0.3406717706
511	0.3405454079
512	0.3403404486
513	0.3401557767
514	0.3399318762
515	0.3396594343
516	0.3395511498
517	0.339357327
518	0.3392714254
519	0.3390824698
520	0.3388749466
521	0.3387150904
522	0.3386209999
523	0.3386209983
524	0.3384268773
525	0.3383149408
526	0.3382999012
527	0.3382395805
528	0.3382395774
529	0.3380326072
530	0.3378559585
531	0.3375332484
532	0.3373585145
533	0.3372639714
534	0.3371459347
535	0.3371283015
536	0.3368817503
537	0.3368069999
538	0.3366880855
539	0.3363928924
540	0.3362363558
541	0.3361026311
542	0.336083798
543	0.3358516323
544	0.335759107
545	0.3355697019
546	0.3354583301
547	0.3354452753
548	0.3352663956
549	0.3352612546
550	0.335023559
551	0.3349337719
552	0.3347399747
553	0.3346694752
554	0.3346627456
555	0.3345321894
556	0.334404582
557	0.3343415221
558	0.3340728012
559	0.3340092004
560	0.3337263227
561	0.333726322
562	0.3335832013
563	0.3332335926
564	0.3331877837
565	0.3331059489
566	0.3330366753
567	0.3329756469
568	0.3328570644
569	0.3326694462
570	0.3326628554
571	0.3325274683
572	0.3324522012
573	0.3322276294
574	0.3320960005
575	0.3320006129
576	0.331820408
577	0.3315391128
578	0.3312978273
579	0.3310531918
580	0.3309364372
581	0.33093566
582	0.3308446993
583	0.3307400511
584	0.3305994089
585	0.3305152821
586	0.3304253479
587	0.3303444969
588	0.3300869977
589	0.3300494151
590	0.3298793328
591	0.3298550001
592	0.3297463635
593	0.3296990472
594	0.3296470547
595	0.3295897483
596	0.3295667322
597	0.3293924979
598	0.3293244712
599	0.3292531304
600	0.3292486564
601	0.3290620881
602	0.3289691242
603	0.3287648909
604	0.3285731621
605	0.3284217373
606	0.3282686077
607	0.3281963961
608	0.3281670256
609	0.3280197442
610	0.3279303795
611	0.3277239977
612	0.3275820813
613	0.3275820809
614	0.3275535167
615	0.3274658706
616	0.3274329078
617	0.3273970822
618	0.3271658804
619	0.3271190181
620	0.3269162672
621	0.3269104937
622	0.3266922358
623	0.3266167931
624	0.3265540285
625	0.3265337821
626	0.3264807323
627	0.3261920333
628	0.3261143714
629	0.3260242534
630	0.3259027035
631	0.3257797284
632	0.325753078
633	0.3257530761
634	0.3255428534
635	0.3254307981
636	0.3252458869
637	0.3252145486
638	0.3251464466
639	0.3250775338
640	0.3250092533
641	0.3248522108
642	0.3246947201
643	0.324510348
644	0.3243748387
645	0.324324259
646	0.3242724472
647	0.3241021643
648	0.3238857336
649	0.3237231438
650	0.3234910359
651	0.3234244098
652	0.3233916215
653	0.3233486432
654	0.3232474803
655	0.3231419767
656	0.3230208376
657	0.3229054111
658	0.3227711604
659	0.3226923325
660	0.322604571
661	0.3222262042
662	0.3222015925
663	0.3221073494
664	0.3219830822
665	0.3218150304
666	0.321807438
667	0.3215421343
668	0.3214771008
669	0.3214533906
670	0.3213886046
671	0.3213557935
672	0.3212491077
673	0.3212486286
674	0.3212022301
675	0.320955521
676	0.3207637358
677	0.3205351698
678	0.3203514329
679	0.3203134528
680	0.3202524265
681	0.32008575
682	0.3200330344
683	0.3199376665
684	0.3196995131
685	0.3196636346
686	0.3194674117
687	0.3193833525
688	0.3192697384
689	0.3191559046
690	0.3191380886
691	0.3191345205
692	0.3189470435
693	0.3188392
694	0.3188290503
695	0.3187574653
696	0.3187499295
697	0.3185737437
698	0.3183834695
699	0.3181337416
700	0.3181219685
701	0.3181176085
702	0.317978216
703	0.3178729709
704	0.3177936681
705	0.3174961311
706	0.3173273735
707	0.3171476484
708	0.3168761085
709	0.3166641041
710	0.3166625321
711	0.3166198647
712	0.3165415794
713	0.3164060869
714	0.3162543586
715	0.3160854391
716	0.3159400497
717	0.315813966
718	0.3157931439
719	0.3157010128
720	0.3155545634
721	0.3152003314
722	0.3150764849
723	0.314937988
724	0.3148488647
725	0.3147383826
726	0.3147294901
727	0.3145459217
728	0.3144367462
729	0.3144003911
730	0.314207101
731	0.3141265744
732	0.3140071818
733	0.3138889682
734	0.3137175952
735	0.3135462536
736	0.3134735298
737	0.3134619989
738	0.3133762826
739	0.3132907846
740	0.313251752
741	0.3130714943
742	0.3130006105
743	0.3129403143
744	0.3127682462
745	0.3127124777
746	0.3125499289
747	0.3125206026
748	0.3124775687
749	0.312315173
750	0.3121938365
751	0.312038796
752	0.3118838717
753	0.3117902621
754	0.3117887855
755	0.3116699733
756	0.3115247191
757	0.3114147696
758	0.3113702164
759	0.3113184785
760	0.311114146
761	0.3110028447
762	0.3109978968
763	0.310962992
764	0.3107630756
765	0.3106644343
766	0.310659477
767	0.310583746
768	0.3104622767
769	0.3103567188
770	0.3101125191
771	0.3100855582
772	0.3100720214
773	0.3099821524
774	0.3098388091
775	0.3095953399
776	0.3093079568
777	0.3090516068
778	0.3090202036
779	0.3087967824
780	0.308645237
781	0.3084835004
782	0.3083982344
783	0.3083135047
784	0.3081782466
785	0.3080143743
786	0.3078817109
787	0.3077807168
788	0.3077234605
789	0.3074203605
790	0.307323523
791	0.3072071958
792	0.3070969199
793	0.3069468957
794	0.3068778112
795	0.3065851389
796	0.306511381
797	0.3064629099
798	0.3062471737
799	0.3061801758
800	0.3061801188
801	0.3061353766
802	0.305984198
803	0.3058649998
804	0.30578065
805	0.3056975112
806	0.3056154565
807	0.3055701988
808	0.3053712237
809	0.3053235139
810	0.305117453
811	0.3049693801
812	0.3047495206
813	0.3045910545
814	0.3044466346
815	0.3040994431
816	0.3040952201
817	0.3040311402
818	0.3038865219
819	0.3038036182
820	0.303602559
821	0.3035528158
822	0.3033621568
823	0.3032410876
824	0.3031085608
825	0.3031035878
826	0.302886496
827	0.3027664621
828	0.3026988867
829	0.3024568105
830	0.3022930903
831	0.3022036318
832	0.3021518824
833	0.3020368643
834	0.3018336517
835	0.3017197642
836	0.3016515145
837	0.3015457956
838	0.3015034139
839	0.3014093196
840	0.301288695
841	0.3010072718
842	0.3009622952
843	0.3008878771
844	0.3008284052
845	0.300678702
846	0.3004002731
847	0.3000943507
848	0.2999563792
849	0.2997585196
850	0.2996061772
851	0.2994911454
852	0.2994071582
853	0.2992549055
854	0.2991123951
855	0.2990081169
856	0.2988392786
857	0.2985570497
858	0.298431356
859	0.2983683673
860	0.2982196624
861	0.2980542651
862	0.2978516635
863	0.2976880536
864	0.2975045477
865	0.2974546285
866	0.2974018309
867	0.297334322
868	0.2971543697
869	0.2970711767
870	0.297011151
871	0.2970065417
872	0.2968021089
873	0.2966579607
874	0.2964667333
875	0.2962784865
876	0.2962518939
877	0.2961149279
878	0.2960738226
879	0.296031735
880	0.2960196933
881	0.2958871937
882	0.2957868166
883	0.2957096534
884	0.2957024933
885	0.2956783106
886	0.2956219484
887	0.2955793616
888	0.2954602997
889	0.295359244
890	0.2951375522
891	0.2950314445
892	0.294912338
893	0.2948479113
894	0.2946774321
895	0.2945344585
896	0.2942757124
897	0.2940757647
898	0.2938012681
899	0.29372108
900	0.293634077
901	0.2931965873
902	0.2931923048
903	0.2931091244
904	0.2929073713
905	0.292752104
906	0.2925824901
907	0.2924277898
908	0.2922829727
909	0.2920323354
910	0.2919097422
911	0.2918403094
912	0.2917284168
913	0.2917119588
914	0.2915626095
915	0.2913488882
916	0.2912107777
917	0.2911104185
918	0.2909050663
919	0.2907163644
920	0.2906051017
921	0.2904552348
922	0.2902849062
923	0.2900602439
924	0.2897615613
925	0.2897329092
926	0.2896376567
927	0.289588003
928	0.2895018989
929	0.2894828658
930	0.2892544193
931	0.2892489383
932	0.2890571895
933	0.2889895757
934	0.2887029834
935	0.2884130703
936	0.288341281
937	0.288199677
938	0.2880629365
939	0.2879892673
940	0.2878727693
941	0.2877545455
942	0.2874969594
943	0.2872896341
944	0.2872537969
945	0.2871008943
946	0.2867893207
947	0.2866358584
948	0.2865720612
949	0.2861833422
950	0.2858639009
951	0.2858351409
952	0.2856925714
953	0.2855934965
954	0.2855027766
955	0.2852648988
956	0.2852086353
957	0.2851360718
958	0.2850574454
959	0.2849854653
960	0.2848944957
961	0.2848184153
962	0.2847728104
963	0.2845821559
964	0.2844556856
965	0.2843301519
966	0.2841708551
967	0.2841618956
968	0.2840374546
969	0.2838938958
970	0.2837392298
971	0.2835461771
972	0.2833850148
973	0.2833036956
974	0.2832601412
975	0.2832100087
976	0.2830920026
977	0.2829921601
978	0.2829756622
979	0.2826752736
980	0.2824405921
981	0.2822507235
982	0.2820003764
983	0.2818189353
984	0.2816889091
985	0.2815141455
986	0.2814088931
987	0.2812605891
988	0.2810152882
989	0.2809001939
990	0.2807533561
991	0.2805209602
992	0.2804234297
993	0.2801414161
994	0.280014615
995	0.2798623347
996	0.2798089354
997	0.2796664502
998	0.2795645065
999	0.2794475958
